Season,Competition Group,Competition,Week Date,Home Team,Away Team,Home Team Score,Away Team Score,Home Team Badge,Away Team Badge,Fixture Location,Time of Match
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Surbiton W3,Hampstead & Westminster W3,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Surbiton HC - Pitch 2,11:15
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,West Hampstead W1,Barnes W2,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Whitefields School - Pitch 1,12:15
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Wanderers W1,Wimbledon W3,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Battersea Park - Far Pitch,13:30
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Tulse Hill & Dulwich W1,Surbiton Sparks,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Alleyns School,13:30
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,London Wayfarers W2,Old Cranleighan W1,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Kings House Sports Ground,13:30
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-03-15,Southgate W2,PHC Chiswick W1,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Southgate Hockey Centre Pitch 1,15:00
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Barnes W2,Wimbledon W3,5,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Hampstead & Westminster W3,PHC Chiswick W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Paddington Recreation Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Tulse Hill & Dulwich W1,Southgate W2,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Surbiton Sparks,Wanderers W1,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,Old Cranleighan W1,Surbiton W3,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-21,London Wayfarers W2,West Hampstead W1,0,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Wimbledon W3,Old Cranleighan W1,1,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,West Hampstead W1,Hampstead & Westminster W3,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Wanderers W1,Tulse Hill & Dulwich W1,3,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Surbiton W3,Surbiton Sparks,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,Southgate W2,London Wayfarers W2,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-09-28,PHC Chiswick W1,Barnes W2,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Barnes W2,Hampstead & Westminster W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Tulse Hill & Dulwich W1,Surbiton W3,4,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Southgate W2,West Hampstead W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Old Cranleighan W1,PHC Chiswick W1,3,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,Wimbledon W3,Surbiton Sparks,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-05,London Wayfarers W2,Wanderers W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Surbiton W3,London Wayfarers W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Wimbledon W3,Tulse Hill & Dulwich W1,1,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Barnes W2,Old Cranleighan W1,4,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Wanderers W1,West Hampstead W1,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Kennington Park,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,Hampstead & Westminster W3,Southgate W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Paddington Recreation Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-12,PHC Chiswick W1,Surbiton Sparks,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Tulse Hill & Dulwich W1,PHC Chiswick W1,2,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Southgate W2,Wanderers W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,West Hampstead W1,Surbiton W3,1,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Surbiton Sparks,Barnes W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,Old Cranleighan W1,Hampstead & Westminster W3,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-10-19,London Wayfarers W2,Wimbledon W3,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Kennington Park,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Barnes W2,Tulse Hill & Dulwich W1,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Surbiton W3,Southgate W2,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Hampstead & Westminster W3,Wanderers W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Mallinson Sports Centre,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Wimbledon W3,West Hampstead W1,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,PHC Chiswick W1,London Wayfarers W2,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-02,Old Cranleighan W1,Surbiton Sparks,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,London Wayfarers W2,Barnes W2,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Tulse Hill & Dulwich W1,Old Cranleighan W1,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Southgate W2,Wimbledon W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Wanderers W1,Surbiton W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,West Hampstead W1,PHC Chiswick W1,7,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-09,Surbiton Sparks,Hampstead & Westminster W3,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Surbiton HC - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Wimbledon W3,Wanderers W1,4,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Raynes Park High School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Surbiton Sparks,Tulse Hill & Dulwich W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Barnes W2,West Hampstead W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,PHC Chiswick W1,Southgate W2,3,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Liverpool Victoria Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Old Cranleighan W1,London Wayfarers W2,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Old Cranleighan Sports Club,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-16,Hampstead & Westminster W3,Surbiton W3,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Mill Hill School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,West Hampstead W1,Old Cranleighan W1,4,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,London Wayfarers W2,Surbiton Sparks,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Kings House Sports Ground,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Tulse Hill & Dulwich W1,Hampstead & Westminster W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Wanderers W1,PHC Chiswick W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Battersea Park - Far Pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Surbiton W3,Wimbledon W3,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Surbiton HC - Pitch 2,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-23,Southgate W2,Barnes W2,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Southgate Hockey Centre Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Barnes W2,Wanderers W1,5,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Dukes Meadow pitch,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Tulse Hill & Dulwich W1,London Wayfarers W2,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Alleyns School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,West Hampstead W1,Surbiton Sparks,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204991/West_Hampstead_HC_1693917045.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Whitefields School - Pitch 1,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,PHC Chiswick W1,Surbiton W3,0,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Latymer Upper School,Completed
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-11-30,Hampstead & Westminster W3,Wimbledon W3,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Paddington Recreation Ground,Completed
