Season,Competition Group,Competition,Week Date,Home Team,Away Team,Home Team Score,Away Team Score,Home Team Badge,Away Team Badge,Fixture Location,Time of Match
2024-2025,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2025-04-05,PHC Chiswick W1,Wimbledon W3,,,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Latymer Upper School,14:30
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-04-06,Wimbledon W3,Wapping W1,2,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-04-06,Tulse Hill & Dulwich W1,West Herts W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-04-06,Hampstead & Westminster W3,Southgate W2,3,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Paddington Recreation Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-04-06,PHC Chiswick W1,Barnes W2,2,6,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Latymer Upper School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-04-06,Wanderers W1,Surbiton Sparks,2,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2024-04-06,Old Cranleighan W1,London Wayfarers W2,1,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-23,Wimbledon W3,Barnes W2,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-23,Tulse Hill & Dulwich W1,Surbiton Sparks,0,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-23,Wanderers W1,Wapping W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-23,Old Cranleighan W1,Hampstead & Westminster W3,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-23,PHC Chiswick W1,Southgate W2,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Latymer Upper School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-23,London Wayfarers W2,West Herts W1,4,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Bank of England Sports Centre,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-30,Hampstead & Westminster W3,PHC Chiswick W1,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Paddington Recreation Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-30,Barnes W2,Wanderers W1,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-30,Southgate W2,Wimbledon W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-30,West Herts W1,Old Cranleighan W1,1,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-30,Surbiton Sparks,London Wayfarers W2,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Surbiton HC - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-09-30,Wapping W1,Tulse Hill & Dulwich W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-07,Wimbledon W3,Hampstead & Westminster W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-07,PHC Chiswick W1,Old Cranleighan W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Liverpool Victoria Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-07,Tulse Hill & Dulwich W1,Barnes W2,2,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-07,West Herts W1,Surbiton Sparks,1,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-07,Wanderers W1,Southgate W2,1,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-07,London Wayfarers W2,Wapping W1,0,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-14,Wapping W1,West Herts W1,7,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Lee Valley Hockey and Tennis Centre - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-14,Southgate W2,Tulse Hill & Dulwich W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-14,PHC Chiswick W1,Wimbledon W3,3,3,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Liverpool Victoria Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-14,Old Cranleighan W1,Surbiton Sparks,1,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-14,Barnes W2,London Wayfarers W2,3,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-14,Hampstead & Westminster W3,Wanderers W1,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Mill Hill School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-21,Tulse Hill & Dulwich W1,Hampstead & Westminster W3,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-21,Wimbledon W3,Old Cranleighan W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-21,Surbiton Sparks,Wapping W1,3,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Surbiton HC - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-21,West Herts W1,Barnes W2,0,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-21,Wanderers W1,PHC Chiswick W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-10-28,London Wayfarers W2,Southgate W2,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-04,Hampstead & Westminster W3,London Wayfarers W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Paddington Recreation Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-04,PHC Chiswick W1,Tulse Hill & Dulwich W1,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Liverpool Victoria Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-04,Wimbledon W3,Wanderers W1,1,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-04,Southgate W2,West Herts W1,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-04,Old Cranleighan W1,Wapping W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-04,Barnes W2,Surbiton Sparks,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,Wanderers W1,Old Cranleighan W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,London Wayfarers W2,PHC Chiswick W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,West Herts W1,Hampstead & Westminster W3,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,Tulse Hill & Dulwich W1,Wimbledon W3,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,Surbiton Sparks,Southgate W2,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,Surbiton HC - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-11,Wapping W1,Barnes W2,2,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Wimbledon W3,London Wayfarers W2,2,7,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Raynes Park High School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,PHC Chiswick W1,West Herts W1,2,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,Liverpool Victoria Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Southgate W2,Wapping W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204919/Southgate_HC_1693241053.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,Southgate Hockey Centre Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Old Cranleighan W1,Barnes W2,0,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,Old Cranleighan Sports Club,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Hampstead & Westminster W3,Surbiton Sparks,2,4,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,Mill Hill School,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-18,Wanderers W1,Tulse Hill & Dulwich W1,0,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,Battersea Park - Far Pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,Wapping W1,Hampstead & Westminster W3,4,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204993/Hampstead_&_Westminster_HC_1725291926.jpg,Lee Valley Hockey and Tennis Centre - Pitch 2,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,London Wayfarers W2,Wanderers W1,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,West Herts W1,Wimbledon W3,0,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,Tulse Hill & Dulwich W1,Old Cranleighan W1,2,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-11-25,Surbiton Sparks,PHC Chiswick W1,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Surbiton HC - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-02,Tulse Hill & Dulwich W1,London Wayfarers W2,1,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,Dulwich College - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-09,Barnes W2,PHC Chiswick W1,5,2,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205301/Barnes_HC_1689063858.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205083/PHC_Chiswick_HC_1693069911.jpg,Dukes Meadow pitch,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-09,London Wayfarers W2,Old Cranleighan W1,3,1,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204951/London_Wayfarers_HC_1665133628.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204967/Old_Cranleighan_HC_1696437204.png,Kings House Sports Ground,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-09,West Herts W1,Tulse Hill & Dulwich W1,2,5,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205091/West_Herts_HC_1695230364.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205975/Tulse_Hill_&_Dulwich_HC_1696366449.png,New Field,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-09,Wapping W1,Wimbledon W3,6,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205945/Wapping_HC_1692903614.png,https://clubportal.englandhockey.co.uk/uploads/clubcrests/205025/Wimbledon_HC_1669065719.jpg,Lee Valley Hockey and Tennis Centre - Pitch 1,Completed
2023-2024,LONDON HOCKEY LEAGUE WOMENS,London Women's Premier Division,2023-12-09,Surbiton Sparks,Wanderers W1,3,0,https://clubportal.englandhockey.co.uk/uploads/clubcrests/204931/Surbiton_HC_1695094895.jpg,https://clubportal.englandhockey.co.uk/uploads/clubcrests/206663/Wanderers_HC_1697184265.png,Surbiton HC - Pitch 1,Completed
